object_class,space,cluster_id,cluster_size,prototype_rank,object_id,object_label,definition,cosine_to_centroid
characters,structural,1,1306,1,U+55E9,嗩,flute-like musical instrument,0.962576
characters,structural,1,1306,2,U+3581,㖁,"(non-classical form of 吝) stingy, sparing of; closefisted, to regret, to shame; to insult",0.962576
characters,structural,1,1306,3,U+5405,吅,character: 吅.,0.962576
characters,structural,1,1306,4,U+54CC,哌,used in translation,0.962576
characters,structural,1,1306,5,U+540C,同,"same, similar; together with",0.962576
characters,structural,1,1306,6,U+540E,后,"queen, empress, sovereign; (simp. for 後) behind, rear, after",0.962576
characters,structural,1,1306,7,U+5415,吕,surname; a musical note,0.962576
characters,structural,1,1306,8,U+54F6,哶,bleat,0.962576
characters,structural,1,1306,9,U+544A,告,"tell, announce, inform; accuse",0.962576
characters,structural,1,1306,10,U+545E,呞,character: 呞.,0.962576
characters,structural,2,160,1,U+67FB,査,"investigate, examine, seek into",0.986415
characters,structural,2,160,2,U+6756,杖,"cane, walking stick",0.986415
characters,structural,2,160,3,U+6747,杇,loquat,0.986415
characters,structural,2,160,4,U+673D,朽,"decayed, rotten; rot, decay",0.986415
characters,structural,2,160,5,U+677B,杻,"Ligustrum sinense, tree",0.986415
characters,structural,2,160,6,U+67BB,枻,"long oar, sweep",0.986415
characters,structural,2,160,7,U+67BC,枼,"a table, flat pieces of wood, a slip, a leaf",0.986415
characters,structural,2,160,8,U+8012,耒,handle of plow; plow; Kangxi radical 127,0.986415
characters,structural,2,160,9,U+690F,椏,the forking branch of a tree,0.986415
characters,structural,2,160,10,U+67E4,柤,hawthorn,0.986415
characters,structural,3,637,1,U+3A57,㩗,"(non-classical form of 攜) to lead by the hand, to conduct to; to take with",0.98341
characters,structural,3,637,2,U+63B1,掱,pickpocket,0.98341
characters,structural,3,637,3,U+626C,扬,"scatter, spread; praise",0.98341
characters,structural,3,637,4,U+3A2C,㨬,character: 㨬.,0.98341
characters,structural,3,637,5,U+638C,掌,"palm of hand, sole of foot, paw",0.98341
characters,structural,3,637,6,U+6491,撑,"prop up, support; brace",0.98341
characters,structural,3,637,7,U+629B,抛,throw (away),0.98341
characters,structural,3,637,8,U+6299,抙,character: 抙.,0.98341
characters,structural,3,637,9,U+635C,捜,"search, seek; investigate",0.98341
characters,structural,3,637,10,U+62A5,报,"report, tell, announce",0.98341
characters,structural,4,125,1,U+591A,多,"much, many; more than, over",0.963078
characters,structural,4,125,2,U+35EC,㗬,"thick lips, to talk slowly",0.963078
characters,structural,4,125,3,U+368B,㚋,"much; many; numerous, great; big; vast",0.963078
characters,structural,4,125,4,U+54C6,哆,"tremble, shiver, shudder, quiver",0.795407
characters,structural,4,125,5,U+540D,名,"name, rank, title, position",0.795407
characters,structural,4,125,6,U+7F57,罗,net for catching birds; gauze,0.735479
characters,structural,4,125,7,U+5922,夢,dream; visionary; wishful,0.735479
characters,structural,4,125,8,U+3434,㐴,"(non-classical of 攀) to drag down; to seize, to pull, to hold to",0.730031
characters,structural,4,125,9,U+4F88,侈,"luxurious, extravagant",0.730031
characters,structural,4,125,10,U+5953,奓,extravagant,0.724583
characters,structural,5,555,1,U+8B76,譶,character: 譶.,0.977871
characters,structural,5,555,2,U+8A00,言,"words, speech; speak, say; Kangxi radical 149",0.977871
characters,structural,5,555,3,U+46D0,䛐,"(same as U+8A5E 詞) an expression, words; phrases; a part of speech, tales; stories, a form of poetry",0.977871
characters,structural,5,555,4,U+8A9B,誛,character: 誛.,0.977871
characters,structural,5,555,5,U+471D,䜝,uncertain,0.977871
characters,structural,5,555,6,U+8AA9,誩,to quarrel; to wrangle,0.977871
characters,structural,5,555,7,U+8ABF,調,"transfer, move, change; tune",0.977871
characters,structural,5,555,8,U+8AEC,諬,to open to begin to explain to inform a letter,0.977871
characters,structural,5,555,9,U+8B07,謇,stutter; speak out boldly,0.977871
characters,structural,5,555,10,U+8B0D,謍,character: 謍.,0.977871
characters,structural,6,148,1,U+6B21,次,"order, sequence; next",0.973962
characters,structural,6,148,2,U+7FA1,羡,"envy, admire; praise; covet",0.973962
characters,structural,6,148,3,U+6063,恣,"indulge oneself, unrestrained",0.82872
characters,structural,6,148,4,U+54A8,咨,"inquire, consult, discuss; plan",0.824535
characters,structural,6,148,5,U+8CC7,資,property; wealth; capital,0.820349
characters,structural,6,148,6,U+8D44,资,property; wealth; capital,0.820349
characters,structural,6,148,7,U+6AA8,檨,mango,0.816164
characters,structural,6,148,8,U+6828,栨,character: 栨.,0.816164
characters,structural,6,148,9,U+6825,栥,character: 栥.,0.816164
characters,structural,6,148,10,U+79F6,秶,character: 秶.,0.811979
characters,structural,7,39,1,U+9455,鑕,"chopping block, executioner's block",0.97353
characters,structural,7,39,2,U+92C7,鋇,"barium (element 56, Ba)",0.875378
characters,structural,7,39,3,U+9400,鐀,a cupboard; a press; a wardrobe shop-counter,0.875378
characters,structural,7,39,4,U+944D,鑍,character: 鑍.,0.875378
characters,structural,7,39,5,U+94A1,钡,"barium (element 56, Ba)",0.875378
characters,structural,7,39,6,U+945C,鑜,character: 鑜.,0.875378
characters,structural,7,39,7,U+8CEA,質,"matter, material, substance",0.784822
characters,structural,7,39,8,U+9358,鍘,sickle for cutting grass or hay,0.751713
characters,structural,7,39,9,U+94E1,铡,sickle for cutting grass or hay,0.751713
characters,structural,7,39,10,U+9527,锧,"tungsten (element 74, W)",0.73939
characters,structural,8,114,1,U+6E5C,湜,"transparent, clear",0.97575
characters,structural,8,114,2,U+6DBE,涾,character: 涾.,0.97575
characters,structural,8,114,3,U+6C93,沓,"connected, joined; repeated",0.97575
characters,structural,8,114,4,U+6C68,汨,Mi(luo) river in Hunan province where Qu Yuan drowned himself; to sink; used (erroneously) for U+6C69 汩,0.97575
characters,structural,8,114,5,U+6639,昹,character: 昹.,0.97575
characters,structural,8,114,6,U+6636,昶,a long day. bright. extended. clear,0.97575
characters,structural,8,114,7,U+6E77,湷,character: 湷.,0.97575
characters,structural,8,114,8,U+6FD5,濕,"wet, moist, humid, damp; an illness",0.97575
characters,structural,8,114,9,U+6DD0,淐,character: 淐.,0.97575
characters,structural,8,114,10,U+6E7F,湿,"wet, moist, humid, damp; illness",0.863088
characters,structural,9,756,1,U+5802,堂,hall; government office,0.965228
characters,structural,9,756,2,U+5816,堖,"small, head shaped hill, used in place names",0.965228
characters,structural,9,756,3,U+5796,垖,character: 垖.,0.965228
characters,structural,9,756,4,U+5831,報,"report, tell, announce",0.965228
characters,structural,9,756,5,U+579A,垚,"mound, roundish mass",0.965228
characters,structural,9,756,6,U+57B0,垰,character: 垰.,0.965228
characters,structural,9,756,7,U+363D,㘽,"to cultivate, plant; to care for plants",0.965228
characters,structural,9,756,8,U+5844,塄,elevated bank in field,0.965228
characters,structural,9,756,9,U+8D71,赱,"walk, go on foot; run; leave",0.965228
characters,structural,9,756,10,U+57D0,埐,character: 埐.,0.965228
characters,structural,10,707,1,U+4E3F,丿,line; Kangxi radical 4,0.934178
characters,structural,10,707,2,U+5200,刀,knife; old coin; measure,0.934178
characters,structural,10,707,3,U+39B2,㦲,"(non-classical form of 哉) a particle expressing surprise, admiration, or grief, an expletive",0.934178
characters,structural,10,707,4,U+529B,力,"power, capability, influence; Kangxi radical 19",0.934178
characters,structural,10,707,5,U+9579,镹,character: 镹.,0.934178
characters,structural,10,707,6,U+7F91,羑,a guide to goodness,0.934178
characters,structural,10,707,7,U+723B,爻,diagrams for divination,0.934178
characters,structural,10,707,8,U+722B,爫,radical 87,0.934178
characters,structural,10,707,9,U+5C6F,屯,"village, hamlet; camp; station; hexagram ䷂",0.934178
characters,structural,10,707,10,U+4E46,乆,"long time (ago); time passage, grow late",0.934178
characters,structural,11,488,1,U+5CC0,峀,"mountain peak; cave, cavern",0.967091
characters,structural,11,488,2,U+5CAC,岬,"cape; promontory, headland",0.967091
characters,structural,11,488,3,U+5CAB,岫,"mountain peak; cave, cavern",0.967091
characters,structural,11,488,4,U+5D3D,崽,"a child, a servant; a diminutive",0.832266
characters,structural,11,488,5,U+5D67,嵧,character: 嵧.,0.832266
characters,structural,11,488,6,U+5D93,嶓,"Boshan, mountain in Shaanxi",0.825949
characters,structural,11,488,7,U+5D30,崰,character: 崰.,0.805419
characters,structural,11,488,8,U+3825,㠥,"rugged and uneven, high and lofty, to roll stones down hill, piles of stones",0.791206
characters,structural,11,488,9,U+3820,㠠,name of a mountain,0.737176
characters,structural,11,488,10,U+5D64,嵤,character: 嵤.,0.733073
characters,structural,12,859,1,U+3CE8,㳨,to splash (of water),0.982504
characters,structural,12,859,2,U+6EA6,溦,drizzle; (variant) valley; (variant) mold,0.982504
characters,structural,12,859,3,U+6E99,溙,character: 溙.,0.982504
characters,structural,12,859,4,U+6E92,溒,character: 溒.,0.982504
characters,structural,12,859,5,U+3CFF,㳿,"(same as 渫) rolling billows, to get rid of; to scatter, muddy, to ooze",0.982504
characters,structural,12,859,6,U+6F82,澂,clear and still water,0.982504
characters,structural,12,859,7,U+6E91,溑,character: 溑.,0.982504
characters,structural,12,859,8,U+6FF4,濴,character: 濴.,0.982504
characters,structural,12,859,9,U+3D07,㴇,"(same as 涉) to wade, to experience, to involve; to implicate",0.982504
characters,structural,12,859,10,U+3CF4,㳴,mud; quagmire,0.982504
characters,structural,13,571,1,U+4F2A,伪,"false, counterfeit, bogus",0.878857
characters,structural,13,571,2,U+4ECA,今,"now, today, modern era",0.878857
characters,structural,13,571,3,U+4EBD,亽,kwukyel,0.878857
characters,structural,13,571,4,U+4EF1,仱,character: 仱.,0.878857
characters,structural,13,571,5,U+98E0,飠,"eat, food; radical number 184",0.878857
characters,structural,13,571,6,U+672E,朮,"skill, art; method; trick, device",0.875082
characters,structural,13,571,7,U+4E34,临,"draw near, approach; descend",0.875082
characters,structural,13,571,8,U+4E4B,之,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",0.875082
characters,structural,13,571,9,U+4E36,丶,dot; Kangxi radical 3,0.875082
characters,structural,13,571,10,U+5154,兔,"rabbit, hare",0.875082
characters,structural,14,60,1,U+4AAF,䪯,"sound, whisper, to groan; to moan",0.908882
characters,structural,14,60,2,U+4AAD,䪭,a kind of musical instrument,0.908882
characters,structural,14,60,3,U+61B6,憶,"remember, reflect upon; memory",0.867614
characters,structural,14,60,4,U+610F,意,"thought, idea, opinion; think",0.867614
characters,structural,14,60,5,U+6114,愔,"comfortable, contented, peaceful",0.867614
characters,structural,14,60,6,U+4AB0,䪰,"(same as 噫) (in grammar) interjection, to exclaim",0.867614
characters,structural,14,60,7,U+7AF8,竸,"contend, vie, compete",0.792635
characters,structural,14,60,8,U+7ADF,竟,"finally, after all, at last",0.792635
characters,structural,14,60,9,U+9571,镱,"ytterbium (element 70, Yb)",0.743387
characters,structural,14,60,10,U+943F,鐿,"ytterbium (element 70, Yb)",0.743387
characters,structural,15,575,1,U+8426,萦,"entangle, entwine, coil",0.974129
characters,structural,15,575,2,U+7E82,纂,"edit, compile; topknot, chignon",0.974129
characters,structural,15,575,3,U+7DAE,綮,embroidered banner,0.974129
characters,structural,15,575,4,U+7EF8,绸,"silk cloth, satin damask",0.974129
characters,structural,15,575,5,U+7D85,綅,thread,0.974129
characters,structural,15,575,6,U+7ECF,经,classic works; pass through,0.974129
characters,structural,15,575,7,U+7D82,綂,"govern, command, control; unite",0.974129
characters,structural,15,575,8,U+7D7B,絻,mourning,0.974129
characters,structural,15,575,9,U+7D72,絲,silk; fine thread; wire; strings,0.974129
characters,structural,15,575,10,U+7E9F,纟,silk; Kangxi radical 120,0.974129
characters,structural,16,204,1,U+590B,夋,to dawdle; the emperor Yao's father,0.936606
characters,structural,16,204,2,U+57C8,埈,"high, steep, towering; stern",0.879166
characters,structural,16,204,3,U+68AD,梭,weaver's shuttle; go to and fro,0.848727
characters,structural,16,204,4,U+516C,公,"fair, equitable; public; duke",0.8483
characters,structural,16,204,5,U+609B,悛,"repent, reform",0.841564
characters,structural,16,204,6,U+837E,荾,character: 荾.,0.837983
characters,structural,16,204,7,U+756F,畯,rustic; crude,0.82724
characters,structural,16,204,8,U+6D5A,浚,dredge,0.825449
characters,structural,16,204,9,U+4FCA,俊,"talented, capable; handsome",0.825449
characters,structural,16,204,10,U+5CFB,峻,"high, steep, towering; stern",0.823659
characters,structural,17,225,1,U+8DB6,趶,character: 趶.,0.932319
characters,structural,17,225,2,U+4801,䠁,(same as 躋) to go up; to rise; to ascend,0.848425
characters,structural,17,225,3,U+8E32,踲,character: 踲.,0.766704
characters,structural,17,225,4,U+482A,䠪,"footprints; track, to trample, to walk far and fast",0.766704
characters,structural,17,225,5,U+8E96,躖,character: 躖.,0.766704
characters,structural,17,225,6,U+4818,䠘,"one-legged, crippled; halt, a mate; to mate",0.766704
characters,structural,17,225,7,U+8E00,踀,character: 踀.,0.766704
characters,structural,17,225,8,U+47FD,䟽,(same as 疏) scattered or dispersed,0.766704
characters,structural,17,225,9,U+8E02,踂,character: 踂.,0.766704
characters,structural,17,225,10,U+8E47,蹇,"lame, crippled; unlucky; hexagram ䷦",0.766704
characters,structural,18,139,1,U+563A,嘺,(Cant.) coincidental,0.946883
characters,structural,18,139,2,U+55AC,喬,"tall, lofty; proud, stately",0.946883
characters,structural,18,139,3,U+5662,噢,"moan; interjection for pain, sad",0.88071
characters,structural,18,139,4,U+356D,㕭,"(same as 咬) to bark as a dog, obscene expressions, an interjection; implying surprise",0.872511
characters,structural,18,139,5,U+5451,呑,swallow; absorb,0.872511
characters,structural,18,139,6,U+5DA0,嶠,high pointed mountain,0.861702
characters,structural,18,139,7,U+3810,㠐,"high and pointed mountain, mountain paths (same as 嶠) lofty",0.861702
characters,structural,18,139,8,U+592D,夭,"young, fresh-looking; die young",0.861562
characters,structural,18,139,9,U+957A,镺,character: 镺.,0.861562
characters,structural,18,139,10,U+618D,憍,"be haughty, proud, arrogant",0.857478
characters,structural,19,241,1,U+9834,頴,rice tassel; sharp point; clever,0.972249
characters,structural,19,241,2,U+71B2,熲,bright,0.972249
characters,structural,19,241,3,U+9872,顲,character: 顲.,0.972249
characters,structural,19,241,4,U+9801,頁,"page, sheet, leaf; Kangxi radical 181",0.972249
characters,structural,19,241,5,U+9875,页,"page, sheet, leaf; rad. no. 181",0.972249
characters,structural,19,241,6,U+982F,頯,cheekbone,0.972249
characters,structural,19,241,7,U+985E,類,"class, group, kind, category",0.972249
characters,structural,19,241,8,U+9888,颈,"neck, throat",0.972249
characters,structural,19,241,9,U+9890,颐,cheeks; jaw; chin; rear; to nourish,0.972249
characters,structural,19,241,10,U+9827,頧,character: 頧.,0.972249
characters,structural,20,295,1,U+79E7,秧,"rice seedlings, young rice plants",0.964714
characters,structural,20,295,2,U+79F5,秵,character: 秵.,0.82668
characters,structural,20,295,3,U+7A2C,稬,"glutinous, sticky",0.818881
characters,structural,20,295,4,U+413A,䄺,"(same as U+7A3A 稚) young and tender; small; delicate; immature, (same as U+7A0A 稊) darnels; tares, grass",0.816281
characters,structural,20,295,5,U+79D7,秗,character: 秗.,0.790285
characters,structural,20,295,6,U+4170,䅰,a kind of grass,0.75645
characters,structural,20,295,7,U+415F,䅟,"(simplified form of 穇) varieties of millet; panicled millet, ear of grain producing no fruit, short grains",0.754198
characters,structural,20,295,8,U+4156,䅖,"(same as 馣) sweet-smelling, tasty; delicious, to farm; to cultivate the land, luxuriant or exuberant of growing rice, grains;; rice plants producing no fruit, to fertilize, the grains not growing; shriveled rice plants",0.711423
characters,structural,20,295,9,U+5928,夨,character: 夨.,0.702418
characters,structural,20,295,10,U+5970,奰,anger,0.702418
characters,structural,21,405,1,U+43F8,䏸,"fish, eyes of the fishes",0.961395
characters,structural,21,405,2,U+555E,啞,"dumb, mute; become hoarse",0.961395
characters,structural,21,405,3,U+517D,兽,"beast, animal; bestial",0.961395
characters,structural,21,405,4,U+5514,唔,"hold in mouth; bite; (Cant.) not, negation",0.961395
characters,structural,21,405,5,U+54D1,哑,"dumb, mute; become hoarse",0.961395
characters,structural,21,405,6,U+54C2,哂,"smile, laugh at, sneer at; (Cant.) a final particle indicating doing something to the full extent possible",0.961395
characters,structural,21,405,7,U+53F7,号,"mark, sign; symbol; number",0.961395
characters,structural,21,405,8,U+35FC,㗼,"eating or talking, moving of the mouth",0.961395
characters,structural,21,405,9,U+540F,吏,"government official, magistrate",0.961395
characters,structural,21,405,10,U+541C,吜,character: 吜.,0.961395
characters,structural,22,329,1,U+83BA,莺,"oriole, green finch; Sylvia species (various)",0.983484
characters,structural,22,329,2,U+4CD2,䳒,"a kind of bird, a hawk; sparrow hawk",0.983484
characters,structural,22,329,3,U+4CD6,䳖,"flying birds, a kind of bird",0.983484
characters,structural,22,329,4,U+9DFD,鷽,"oriental bullfinch, weaver bird; Pyrrhula species (various)",0.983484
characters,structural,22,329,5,U+9DBE,鶾,character: 鶾.,0.983484
characters,structural,22,329,6,U+9DB1,鶱,to soar,0.983484
characters,structural,22,329,7,U+9DAF,鶯,"oriole, green finch; Sylvia species (various)",0.983484
characters,structural,22,329,8,U+9D9E,鶞,character: 鶞.,0.983484
characters,structural,22,329,9,U+9D07,鴇,bustard; procuress; Otis species (various),0.983484
characters,structural,22,329,10,U+9D2D,鴭,character: 鴭.,0.983484
characters,structural,23,324,1,U+7BE6,篦,fine-toothed comb; comb hair,0.979742
characters,structural,23,324,2,U+4247,䉇,character: 䉇.,0.979742
characters,structural,23,324,3,U+7B97,算,"count, calculate, figure; plan",0.979742
characters,structural,23,324,4,U+41EB,䇫,"bamboo-splints; laths, to plait, (same as 篦) a comb; especially a fine-toothed one)",0.979742
characters,structural,23,324,5,U+7BC4,範,"pattern, model, rule, law",0.979742
characters,structural,23,324,6,U+4233,䈳,a window-leaf; something made of strips of bamboo to block sunlight,0.979742
characters,structural,23,324,7,U+7C31,簱,character: 簱.,0.979742
characters,structural,23,324,8,U+7C33,簳,character: 簳.,0.979742
characters,structural,23,324,9,U+7C38,簸,winnower,0.979742
characters,structural,23,324,10,U+7C06,簆,reed,0.979742
characters,structural,24,960,1,U+6675,晵,character: 晵.,0.94862
characters,structural,24,960,2,U+6625,春,spring; wanton,0.94862
characters,structural,24,960,3,U+662F,是,"indeed, yes, right; to be; demonstrative pronoun, this, that",0.94862
characters,structural,24,960,4,U+3B24,㬤,wet clothes not completely dry; to dry in the sun or use sand to dry up on the ground,0.94862
characters,structural,24,960,5,U+7A25,稥,character: 稥.,0.94862
characters,structural,24,960,6,U+665A,晚,"night, evening; late",0.94862
characters,structural,24,960,7,U+6669,晩,night,0.94862
characters,structural,24,960,8,U+661A,昚,to be cautious,0.94862
characters,structural,24,960,9,U+666D,晭,character: 晭.,0.94862
characters,structural,24,960,10,U+6676,晶,"crystal; clear, bright; radiant",0.94862
characters,structural,25,592,1,U+517C,兼,"unite, combine; connect; and",0.979785
characters,structural,25,592,2,U+4E26,並,"equal to; side by side; also, what is more; both",0.979785
characters,structural,25,592,3,U+4491,䒑,(non-classical form of 艸) grass; straw; herbs; weeds,0.979785
characters,structural,25,592,4,U+516E,兮,exclamatory particle,0.979785
characters,structural,25,592,5,U+5179,兹,"now, here; this; time, year",0.979785
characters,structural,25,592,6,U+5174,兴,"thrive, prosper, flourish",0.979785
characters,structural,25,592,7,U+5177,具,"tool, implement; draw up, write",0.979785
characters,structural,25,592,8,U+34B7,㒷,"(simple form of U+8208 興) to prosper, to begin, to increase; to rise; to raise, flourishing",0.979785
characters,structural,25,592,9,U+5176,其,"his, her, its, their; that",0.979785
characters,structural,25,592,10,U+5175,兵,"soldier, troops",0.979785
characters,structural,26,559,1,U+4F13,伓,character: 伓.,0.937823
characters,structural,26,559,2,U+5927,大,"big, great, vast, large, high",0.937823
characters,structural,26,559,3,U+502B,倫,normal human relationships,0.937823
characters,structural,26,559,4,U+4FF9,俹,character: 俹.,0.937823
characters,structural,26,559,5,U+4FED,俭,"temperate, frugal, economical",0.937823
characters,structural,26,559,6,U+4FCE,俎,chopping board or block; painted,0.937823
characters,structural,26,559,7,U+4F96,侖,"logical reasons, logical order",0.937823
characters,structural,26,559,8,U+6703,會,"to assemble, meet together; a meeting; an organization",0.937823
characters,structural,26,559,9,U+4F65,佥,"all, together, unanimous",0.937823
characters,structural,26,559,10,U+4F3E,伾,mighty,0.937823
characters,structural,27,3485,1,U+6169,慩,character: 慩.,0.415769
characters,structural,27,3485,2,U+3981,㦁,"to sob; to weep, to pay attention, to be careful; to take care; to exercise caution",0.415769
characters,structural,27,3485,3,U+607D,恽,"devise, plan, deliberate; consult",0.39746
characters,structural,27,3485,4,U+60F2,惲,"devise, plan, deliberate; consult",0.39746
characters,structural,27,3485,5,U+5FDA,忚,character: 忚.,0.396156
characters,structural,27,3485,6,U+5FD4,忔,character: 忔.,0.396156
characters,structural,27,3485,7,U+5FC6,忆,"remember, reflect upon; memory",0.396156
characters,structural,27,3485,8,U+5FEC,忬,character: 忬.,0.396156
characters,structural,27,3485,9,U+5FF0,忰,"suffer, become emaciated, haggard",0.385254
characters,structural,27,3485,10,U+61F5,懵,"stupid, ignorant, dull",0.381439
characters,structural,28,229,1,U+664E,晎,character: 晎.,0.939065
characters,structural,28,229,2,U+5171,共,"together with, all, total; to share",0.933895
characters,structural,28,229,3,U+9FB7,龷,character: 龷.,0.916279
characters,structural,28,229,4,U+6614,昔,formerly; ancient; in beginning,0.909532
characters,structural,28,229,5,U+54C4,哄,"coax; beguile, cheat, deceive",0.875769
characters,structural,28,229,6,U+66DD,曝,"sun, air in sun, expose or dry in the sun",0.873348
characters,structural,28,229,7,U+66B4,暴,"violent, brutal, tyrannical",0.873348
characters,structural,28,229,8,U+517E,兾,same as 冀 U+5180 to hope for; to wish,0.867468
characters,structural,28,229,9,U+9EC4,黄,yellow; surname,0.867468
characters,structural,28,229,10,U+7570,異,"different, unusual, strange",0.867468
characters,structural,29,619,1,U+84E5,蓥,polish,0.983779
characters,structural,29,619,2,U+9435,鐵,"iron (element 26, Fe); strong, solid, firm",0.983779
characters,structural,29,619,3,U+4931,䤱,(ancient form of 誓) a solemn pledge; a vow; an oath,0.983779
characters,structural,29,619,4,U+950E,锎,"caesium/cesium (element 55, Cs)",0.983779
characters,structural,29,619,5,U+950D,锍,"matte, a crude mixture of sulfides formed in smelting sulfide ores",0.983779
characters,structural,29,619,6,U+92F6,鋶,"matte, a crude mixture of sulfides formed in smelting sulfide ores",0.983779
characters,structural,29,619,7,U+9441,鑁,character: 鑁.,0.983779
characters,structural,29,619,8,U+9459,鑙,character: 鑙.,0.983779
characters,structural,29,619,9,U+946B,鑫,used in names,0.983779
characters,structural,29,619,10,U+92BD,銽,character: 銽.,0.983779
characters,structural,30,428,1,U+8735,蜵,character: 蜵.,0.985161
characters,structural,30,428,2,U+8745,蝅,character: 蝅.,0.985161
characters,structural,30,428,3,U+45BF,䖿,(same as 蜊) a kind of clam with thick white shells,0.985161
characters,structural,30,428,4,U+882B,蠫,character: 蠫.,0.985161
characters,structural,30,428,5,U+45B5,䖵,insects,0.985161
characters,structural,30,428,6,U+8827,蠧,moth; insects which eat into cloth,0.985161
characters,structural,30,428,7,U+874B,蝋,"wax; candle; waxy, glazed",0.985161
characters,structural,30,428,8,U+45B0,䖰,a kind of gnat; a small flying insect,0.985161
characters,structural,30,428,9,U+45D9,䗙,earthworm,0.985161
characters,structural,30,428,10,U+87FF,蟿,Acrida chinensis,0.985161
characters,structural,31,691,1,U+59E6,姦,"adultery, debauchery; debauch",0.973761
characters,structural,31,691,2,U+5AB2,媲,"marry off, pair, match; compare",0.973761
characters,structural,31,691,3,U+5B0D,嬍,character: 嬍.,0.973761
characters,structural,31,691,4,U+5AB4,媴,character: 媴.,0.973761
characters,structural,31,691,5,U+36D1,㛑,"three women, beautiful things",0.973761
characters,structural,31,691,6,U+59CA,姊,elder sister,0.973761
characters,structural,31,691,7,U+5B3D,嬽,character: 嬽.,0.973761
characters,structural,31,691,8,U+36B8,㚸,used in girl's name,0.973761
characters,structural,31,691,9,U+59DC,姜,surname; ginger,0.973761
characters,structural,31,691,10,U+5ABA,媺,beautiful,0.973761
characters,structural,32,474,1,U+5BF6,寶,"treasure, jewel; precious, rare",0.963745
characters,structural,32,474,2,U+477A,䝺,(non-classical form of 貫) to pierce through,0.963745
characters,structural,32,474,3,U+8D51,赑,strong,0.963745
characters,structural,32,474,4,U+8D4F,赏,"reward, grant, bestow; appreciate",0.963745
characters,structural,32,474,5,U+8CA0,負,"load, burden; carry, bear",0.963745
characters,structural,32,474,6,U+4786,䞆,"bone, grease and oil",0.963745
